=== Model parameter summary (sorted by size desc) ===
encoder.encoder_transformer.transformer_encoder.embeddings.word_embeddings.weight |    23.44M | train  | (30522, 768)       | torch.float32
encoder.model.12.conv.conv.weight_v                                              |     8.39M | train  | (1024, 512, 16)    | torch.float32
encoder.model.13.lstm.weight_ih_l1                                               |     8.39M | train  | (4096, 2048)       | torch.float32
encoder.model.13.lstm.weight_ih_l1_reverse                                       |     8.39M | train  | (4096, 2048)       | torch.float32
decoder.model.1.lstm.weight_ih_l1                                                |     8.39M | train  | (4096, 2048)       | torch.float32
decoder.model.1.lstm.weight_ih_l1_reverse                                        |     8.39M | train  | (4096, 2048)       | torch.float32
decoder.model.3.convtr.convtr.weight_v                                           |     8.39M | train  | (1024, 512, 16)    | torch.float32
encoder.model.13.lstm.weight_ih_l0                                               |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.lstm.weight_hh_l0                                               |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.lstm.weight_ih_l0_reverse                                       |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.lstm.weight_hh_l0_reverse                                       |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.lstm.weight_hh_l1                                               |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.lstm.weight_hh_l1_reverse                                       |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_ih_l0                                                |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_hh_l0                                                |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_ih_l0_reverse                                        |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_hh_l0_reverse                                        |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_hh_l1                                                |     4.19M | train  | (4096, 1024)       | torch.float32
decoder.model.1.lstm.weight_hh_l1_reverse                                        |     4.19M | train  | (4096, 1024)       | torch.float32
encoder.model.13.projection.weight                                               |     2.10M | train  | (1024, 2048)       | torch.float32
decoder.model.1.projection.weight                                                |     2.10M | train  | (1024, 2048)       | torch.float32
encoder.encoder_transformer.transformer_encoder.encoder.layer.0.intermediate.dense.weight |     1.57M | train  | (2048, 768)        | torch.float32
